lat,lon,name,accesslevel,wheelchair
50.9849256,13.6821776,Niederhäslich Bergmannsweg,0,unknown
51.1236227,13.7827891,Sagarder Weg,2,yes
51.0815604,13.9003769,"Ullersdorf, Gasthof",0,unknown
51.0657521,13.8957336,"Weißig, Einkaufszentrum",0,unknown
51.0071397,13.6984978,Stuttgarter Straße,0,unknown
51.0101985,13.701411,Heilbronner Straße,1,limited
51.0031213,13.6861359,Burgker Straße,0,unknown
50.9963329,13.6894923,"Kleinnaundorf, Schule",0,unknown
51.0878926,13.69924,Peschelstraße/Rankestraße,-1,no
51.0869787,13.6393511,Gohliser Weg,0,unknown
51.0038934,13.6269193,Freital Döhlen Daubenbergweg,0,unknown
51.0914484,13.6737687,Spitzhausstraße,0,unknown
51.091306,13.7377208,Lauterbacher Straße,0,unknown
51.1097375,13.7324074,Am Olter,2,yes
51.1260716,13.8414971,"Dresden-Langebrück, Bahnhof",0,unknown
51.1160906,13.7451454,Brunnenweg,2,yes
51.1170369,13.7298416,Waldteichstraße,1,limited
51.1179738,13.7356595,Beckerstraße,0,unknown
51.0937985,13.7351501,Am Hellerhof,1,limited
51.0013754,13.7142667,"Boderitz, Cunnersdorfer Straße",0,unknown
51.1750105,13.8489166,Ottendorf-Okrilla An den Schindertannen,0,unknown
51.1365172,13.9164898,Wachau Feldschlößchen,-1,no
51.1218092,13.9181484,"Radeberg, Badstraße (Ärztehaus)",-1,no
51.1199416,13.9202962,"Radeberg, Oberstraße",-1,no
51.1123387,13.9175181,"Radeberg, Rathenaustraße",0,unknown
51.0432125,13.6799302,Julius-Vahlteich-Straße,2,yes
51.0496707,13.7575474,St.-Benno-Gymnasium,-1,no
51.0876274,13.7377982,Sankt-Pauli-Friedhof,-1,no
51.0771537,13.7329358,Liststraße,2,yes
51.0691565,13.6897521,Werftstraße,2,yes
51.0740736,13.6903622,Overbeckstraße,2,yes
51.0777206,13.6906693,Gewerbegebiet Kaditz,2,yes
51.0814045,13.7331031,Eschebachstraße,0,unknown
51.0154615,13.8609735,Van-Gogh-Straße,0,unknown
51.0409282,13.8262872,Josef-Herrmann-Straße,0,unknown
51.0457397,13.8229272,Künstlerhaus,0,unknown
51.0221494,13.7957148,Pferderennbahn,2,yes
50.9818033,13.7333554,Rippien Dorfplatz,2,yes
51.1454519,13.8000903,"Dresden-Weixdorf, Mitte (Rathausplatz)",0,unknown
51.1137095,13.6322731,Heiterer Blick,0,unknown
51.1264309,13.6340018,Altlindenau,0,unknown
51.1419003,13.8994051,Kleinwachau,2,yes
